| Category    | Sub-category | Metric Name                                                             | Value       | Unit    | Year      | Source Page | unit_issue | ambiguity_flag | notes                            |
| ----------- | ------------ | ----------------------------------------------------------------------- | ----------- | ------- | --------- | ----------- | ---------- | -------------- | -------------------------------- |
| Environment | Emissions    | Reduction in NOx, SOx, VOCs                                             | 25          | Percent | 2016–2024 | 5           | No         | Yes            | Multi-year range                 |
| Environment | Waste        | Waste diverted from landfill                                            | 95          | Percent | 2023–2024 | 5           | Yes        | Yes            | Reported as >95% (minimum value) |
| Environment | Water        | Water supplied from recycled/brackish/reclaimed sources (Permian Basin) | 98          | Percent | 2024      | 5           | No         | No             | Clean metric                     |
| Environment | Conservation | Duration of conservation partnership (Tandem Global)                    | 30          | Years   | 2024      | 5           | Yes        | Yes            | Reported as >30 years            |
| Environment | Operations   | Countries of operation                                                  | 60          | Count   | 2024      | 5           | Yes        | Yes            | Reported as ~60 countries        |
| Environment | Workforce    | Environmental & related training courses completed                      | 13000       | Count   | 2022–2024 | 18          | No         | Yes            | Multi-year aggregation           |
| Environment | Compliance   | ISO 14001 certified lubricant plants                                    | 20          | Count   | 2024      | 18          | Yes        | Yes            | Reported as more than 20         |
| Environment | Investment   | Low-emission investment plan                                            | 30000000000 | USD     | 2025–2030 | 12          | No         | Yes            | Future projection                |
| Environment | Investment   | Share of investment for third-party emission reduction                  | 65          | Percent | 2025–2030 | 12          | No         | Yes            | Projection-based percentage      |
| Environment | Workforce    | Employees and contractors trained (policy/compliance/environment)       | 17500       | Count   | 2024      | 10          | No         | No             | Clean metric                     |
